lotSize,rooms,floors,baths,price,saleResult,commission
4291.0,4.0,2.0,3.0,163715.0,Sold,9822.9
3918.0,6.0,3.0,2.0,185616.0,Unsold,0.0
4477.0,3.0,1.0,1.0,176230.0,Sold,10573.8
3018.0,3.0,2.0,1.0,166193.0,Sold,9971.58
2860.0,4.0,3.0,3.0,147380.0,Sold,8842.8
1113.0,6.0,3.0,1.0,206824.0,Sold,12409.44
2518.0,6.0,1.0,1.0,165524.0,Unsold,0.0
4804.0,2.0,1.0,1.0,228813.0,Sold,13728.78
1659.0,4.0,2.0,2.0,166220.0,Sold,9973.2
2912.0,6.0,1.0,1.0,165911.0,Sold,9954.66
2354.0,3.0,2.0,1.0,168491.0,Sold,10109.46
4980.0,6.0,2.0,2.0,183079.0,Sold,10984.74
4544.0,3.0,2.0,2.0,156845.0,Sold,9410.7
3847.0,6.0,3.0,3.0,180579.0,Sold,10834.74
4338.0,4.0,1.0,2.0,149985.0,Sold,8999.1
3161.0,3.0,2.0,1.0,165192.0,Sold,9911.52
4376.0,4.0,1.0,2.0,158237.0,Sold,9494.22
4980.0,3.0,3.0,1.0,201705.0,Sold,12102.3
4625.0,5.0,2.0,2.0,180835.0,Sold,10850.1
4778.0,5.0,3.0,3.0,198138.0,Unsold,0.0
2072.0,3.0,1.0,1.0,182166.0,Unsold,0.0
2566.0,2.0,2.0,2.0,145187.0,Sold,8711.22
4903.0,3.0,2.0,1.0,175591.0,Sold,10535.46
1789.0,4.0,1.0,1.0,198992.0,Sold,11939.52
4270.0,5.0,2.0,2.0,175476.0,Sold,10528.56
2029.0,3.0,3.0,2.0,159352.0,Sold,9561.12
3205.0,6.0,2.0,2.0,173666.0,Sold,10419.96
1787.0,4.0,2.0,2.0,168591.0,Sold,10115.46
3028.0,2.0,2.0,1.0,180506.0,Sold,10830.36
4801.0,5.0,3.0,2.0,180558.0,Sold,10833.48
1113.0,2.0,2.0,3.0,165240.0,Sold,9914.4
1193.0,6.0,1.0,2.0,145604.0,Sold,8736.24
3275.0,4.0,2.0,3.0,163503.0,Sold,9810.18
2751.0,2.0,2.0,3.0,167870.0,Sold,10072.2
4113.0,6.0,2.0,2.0,174269.0,Sold,10456.14
3031.0,6.0,2.0,3.0,168061.0,Sold,10083.66
3225.0,5.0,2.0,3.0,145606.0,Sold,8736.36
4767.0,5.0,1.0,1.0,214993.0,Unsold,0.0
1046.0,2.0,2.0,1.0,173720.0,Sold,10423.2
4133.0,5.0,2.0,2.0,182427.0,Sold,10945.62
2424.0,4.0,1.0,3.0,171462.0,Sold,10287.72
3132.0,5.0,2.0,1.0,160347.0,Sold,9620.82
4217.0,4.0,1.0,1.0,204874.0,Sold,12292.44
4048.0,3.0,2.0,1.0,206402.0,Unsold,0.0
3518.0,2.0,1.0,3.0,193430.0,Sold,11605.8
1908.0,6.0,1.0,2.0,152034.0,Sold,9122.04
1830.0,4.0,3.0,2.0,188470.0,Unsold,0.0
3066.0,3.0,1.0,1.0,170119.0,Sold,10207.14
1089.0,3.0,2.0,1.0,189119.0,Sold,11347.14
2421.0,6.0,3.0,3.0,190096.0,Sold,11405.76
4282.0,5.0,2.0,2.0,171850.0,Sold,10311.0
1412.0,5.0,2.0,1.0,154413.0,Sold,9264.78
2080.0,2.0,2.0,3.0,159530.0,Sold,9571.8
3105.0,6.0,2.0,1.0,165179.0,Sold,9910.74
3110.0,3.0,3.0,2.0,153062.0,Sold,9183.72
2928.0,6.0,3.0,3.0,200971.0,Sold,12058.26
3581.0,5.0,3.0,3.0,161350.0,Sold,9681.0
4150.0,3.0,3.0,1.0,208414.0,Sold,12504.84
3547.0,6.0,3.0,1.0,211821.0,Sold,12709.26
4620.0,6.0,3.0,1.0,201513.0,Sold,12090.78
1888.0,6.0,2.0,2.0,182291.0,Sold,10937.46
1706.0,5.0,2.0,2.0,182209.0,Unsold,0.0
1483.0,2.0,1.0,1.0,231299.0,Sold,13877.94
4125.0,5.0,1.0,2.0,171728.0,Sold,10303.68
3670.0,4.0,3.0,3.0,141840.0,Sold,8510.4
1585.0,6.0,3.0,3.0,209013.0,Sold,12540.78
1671.0,5.0,2.0,1.0,163122.0,Sold,9787.32
4088.0,2.0,1.0,3.0,188402.0,Unsold,0.0
1592.0,1.0,1.0,1.0,187453.0,Sold,11247.18
4806.0,5.0,1.0,1.0,197124.0,Sold,11827.44
4475.0,4.0,3.0,2.0,193337.0,Sold,11600.22
4585.0,3.0,3.0,1.0,229094.0,Sold,13745.64
3124.0,6.0,1.0,3.0,142064.0,Sold,8523.84
1445.0,3.0,3.0,3.0,169244.0,Sold,10154.64
1376.0,2.0,2.0,1.0,188905.0,Sold,11334.3
4586.0,3.0,2.0,1.0,226062.0,Unsold,0.0
4269.0,2.0,1.0,3.0,197036.0,Sold,11822.16
3269.0,5.0,3.0,3.0,161420.0,Sold,9685.2
4732.0,5.0,2.0,3.0,151860.0,Sold,9111.6
4896.0,3.0,2.0,1.0,226685.0,Sold,13601.1
1046.0,4.0,2.0,3.0,156552.0,Sold,9393.12
1000.0,5.0,1.0,1.0,187571.0,Sold,11254.26
2584.0,6.0,3.0,1.0,204792.0,Sold,12287.52
2113.0,5.0,3.0,1.0,194562.0,Sold,11673.72
1415.0,6.0,1.0,3.0,136609.0,Sold,8196.539999999999
3416.0,4.0,1.0,1.0,198587.0,Sold,11915.22
4259.0,4.0,2.0,3.0,160105.0,Sold,9606.3
4980.0,5.0,3.0,3.0,171522.0,Sold,10291.32
1645.0,3.0,1.0,1.0,176255.0,Sold,10575.3
2530.0,2.0,2.0,1.0,202463.0,Sold,12147.78
1783.0,5.0,2.0,1.0,159895.0,Sold,9593.7
3770.0,5.0,2.0,2.0,180554.0,Sold,10833.24
2185.0,4.0,2.0,2.0,164432.0,Sold,9865.92
3398.0,4.0,3.0,1.0,166010.0,Sold,9960.6
4750.0,5.0,3.0,2.0,192365.0,Sold,11541.9
2708.0,5.0,3.0,3.0,194553.0,Unsold,0.0
4808.0,4.0,1.0,1.0,233681.0,Sold,14020.86
4021.0,5.0,3.0,3.0,179940.0,Unsold,0.0
3134.0,3.0,1.0,1.0,175638.0,Sold,10538.28
4233.0,6.0,3.0,3.0,205156.0,Sold,12309.36
1361.0,6.0,2.0,3.0,174284.0,Sold,10457.04
4124.0,5.0,3.0,3.0,178156.0,Sold,10689.36
3797.0,6.0,1.0,3.0,144034.0,Sold,8642.039999999999
3355.0,5.0,3.0,2.0,214058.0,Sold,12843.48
3498.0,6.0,3.0,3.0,195560.0,Sold,11733.6
4743.0,6.0,3.0,1.0,219062.0,Sold,13143.72
1195.0,4.0,3.0,1.0,181647.0,Sold,10898.82
3298.0,3.0,1.0,3.0,172192.0,Sold,10331.52
3863.0,2.0,1.0,3.0,201183.0,Sold,12070.98
3745.0,2.0,2.0,2.0,157580.0,Unsold,0.0
4215.0,1.0,1.0,2.0,202959.0,Sold,12177.54
1857.0,6.0,3.0,2.0,201536.0,Sold,12092.16
4893.0,3.0,3.0,1.0,250004.0,Sold,15000.24
3594.0,5.0,2.0,1.0,168183.0,Sold,10090.98
2140.0,5.0,1.0,3.0,162577.0,Unsold,0.0
1633.0,2.0,1.0,1.0,224675.0,Unsold,0.0
4270.0,1.0,1.0,1.0,191223.0,Sold,11473.38
2397.0,6.0,3.0,3.0,193002.0,Sold,11580.12
3972.0,6.0,3.0,2.0,203039.0,Sold,12182.34
1480.0,5.0,3.0,1.0,198365.0,Sold,11901.9
4937.0,6.0,1.0,3.0,139942.0,Sold,8396.52
1675.0,4.0,3.0,2.0,212034.0,Sold,12722.04
3955.0,3.0,3.0,2.0,167268.0,Sold,10036.08
2698.0,3.0,3.0,3.0,178616.0,Unsold,0.0
2942.0,2.0,2.0,1.0,215724.0,Sold,12943.44
4024.0,6.0,1.0,1.0,200727.0,Sold,12043.62
3581.0,4.0,1.0,3.0,177568.0,Sold,10654.08
4459.0,4.0,3.0,2.0,230521.0,Sold,13831.26
2648.0,6.0,3.0,2.0,201259.0,Sold,12075.54
3097.0,5.0,3.0,2.0,229675.0,Sold,13780.5
1863.0,3.0,3.0,3.0,174406.0,Unsold,0.0
3377.0,1.0,1.0,2.0,204201.0,Sold,12252.06
2572.0,4.0,3.0,2.0,215425.0,Sold,12925.5
4967.0,6.0,2.0,1.0,168228.0,Sold,10093.68
1018.0,6.0,2.0,1.0,175003.0,Unsold,0.0
3486.0,3.0,1.0,3.0,175179.0,Sold,10510.74
3905.0,2.0,2.0,2.0,167921.0,Sold,10075.26
2299.0,4.0,2.0,2.0,172520.0,Sold,10351.2
2020.0,6.0,3.0,2.0,195288.0,Unsold,0.0
4501.0,1.0,1.0,3.0,204790.0,Sold,12287.4
4188.0,4.0,3.0,2.0,223175.0,Sold,13390.5
1799.0,3.0,3.0,3.0,179161.0,Sold,10749.66
1365.0,6.0,2.0,2.0,185741.0,Unsold,0.0
1614.0,1.0,1.0,3.0,209443.0,Sold,12566.58
2917.0,6.0,1.0,3.0,146539.0,Unsold,0.0
2595.0,1.0,1.0,1.0,199439.0,Sold,11966.34
1257.0,5.0,2.0,3.0,157965.0,Sold,9477.9
2136.0,5.0,1.0,2.0,162423.0,Sold,9745.38
3539.0,5.0,3.0,2.0,227717.0,Unsold,0.0
3033.0,4.0,1.0,3.0,177877.0,Sold,10672.62
4225.0,4.0,2.0,2.0,177026.0,Sold,10621.56
3129.0,4.0,3.0,2.0,218975.0,Sold,13138.5
4593.0,4.0,2.0,1.0,206506.0,Sold,12390.36
1188.0,5.0,2.0,3.0,157569.0,Sold,9454.14
4747.0,2.0,1.0,3.0,188271.0,Sold,11296.26
3916.0,3.0,2.0,3.0,148961.0,Sold,8937.66
2618.0,3.0,3.0,1.0,240630.0,Sold,14437.8
4015.0,6.0,3.0,1.0,221936.0,Sold,13316.16
2567.0,6.0,1.0,2.0,164272.0,Sold,9856.32
3581.0,4.0,3.0,3.0,155653.0,Sold,9339.18
2444.0,3.0,3.0,2.0,169008.0,Sold,10140.48
1192.0,3.0,2.0,3.0,162820.0,Sold,9769.2
2857.0,3.0,2.0,1.0,218438.0,Unsold,0.0
4661.0,3.0,2.0,2.0,157422.0,Sold,9445.32
4131.0,4.0,2.0,3.0,157281.0,Sold,9436.86
4944.0,5.0,2.0,2.0,175785.0,Sold,10547.1
2252.0,6.0,2.0,2.0,203338.0,Sold,12200.28
3798.0,4.0,3.0,3.0,177305.0,Sold,10638.3
4980.0,6.0,3.0,3.0,209173.0,Sold,12550.38
2684.0,6.0,3.0,1.0,230086.0,Sold,13805.16
4914.0,3.0,3.0,2.0,181678.0,Unsold,0.0
1494.0,1.0,1.0,1.0,217371.0,Unsold,0.0
1082.0,2.0,1.0,2.0,173525.0,Sold,10411.5
1976.0,6.0,3.0,2.0,206161.0,Sold,12369.66
2444.0,4.0,2.0,2.0,183971.0,Sold,11038.26
2403.0,3.0,3.0,3.0,173813.0,Sold,10428.78
3136.0,5.0,3.0,2.0,222592.0,Sold,13355.52
2532.0,4.0,3.0,1.0,199667.0,Unsold,0.0
4496.0,3.0,1.0,2.0,172105.0,Sold,10326.3
2978.0,3.0,3.0,3.0,177172.0,Sold,10630.32
4288.0,6.0,1.0,3.0,144999.0,Sold,8699.94
4706.0,6.0,1.0,2.0,184568.0,Sold,11074.08
1526.0,5.0,3.0,2.0,235515.0,Unsold,0.0
4921.0,3.0,2.0,1.0,243774.0,Sold,14626.44
2525.0,6.0,3.0,3.0,205683.0,Sold,12340.98
4595.0,5.0,2.0,1.0,182800.0,Sold,10968.0
3652.0,4.0,3.0,1.0,192193.0,Sold,11531.58
1461.0,6.0,1.0,2.0,190357.0,Unsold,0.0
4525.0,2.0,1.0,1.0,219136.0,Unsold,0.0
4865.0,2.0,1.0,2.0,180190.0,Unsold,0.0
2102.0,2.0,1.0,2.0,179992.0,Sold,10799.52
2990.0,6.0,2.0,2.0,206501.0,Sold,12390.06
3219.0,5.0,3.0,2.0,215493.0,Unsold,0.0
1773.0,2.0,2.0,1.0,227707.0,Sold,13662.42
3153.0,3.0,3.0,2.0,159469.0,Sold,9568.14
3944.0,3.0,3.0,2.0,171272.0,Sold,10276.32
1835.0,3.0,3.0,3.0,163496.0,Sold,9809.76
1412.0,4.0,2.0,1.0,209584.0,Sold,12575.04
2831.0,5.0,2.0,3.0,169482.0,Sold,10168.92
3489.0,5.0,3.0,2.0,220661.0,Sold,13239.66
1139.0,3.0,2.0,2.0,163827.0,Sold,9829.62
4708.0,5.0,2.0,3.0,169832.0,Sold,10189.92
3288.0,6.0,2.0,3.0,178265.0,Sold,10695.9
3751.0,5.0,1.0,1.0,203757.0,Sold,12225.42
3712.0,5.0,3.0,3.0,186841.0,Sold,11210.46
1546.0,3.0,2.0,2.0,185038.0,Unsold,0.0
4297.0,3.0,1.0,1.0,182217.0,Sold,10933.02
4031.0,4.0,1.0,2.0,166779.0,Sold,10006.74
2968.0,4.0,2.0,3.0,169354.0,Sold,10161.24
4286.0,4.0,1.0,3.0,182305.0,Sold,10938.3
4803.0,4.0,2.0,3.0,164245.0,Sold,9854.7
3314.0,5.0,2.0,1.0,190103.0,Sold,11406.18
2277.0,2.0,2.0,1.0,218748.0,Sold,13124.88
3264.0,3.0,3.0,2.0,174889.0,Sold,10493.34
2935.0,5.0,3.0,1.0,201385.0,Sold,12083.1
1441.0,3.0,2.0,3.0,161358.0,Sold,9681.48
4883.0,6.0,3.0,3.0,202270.0,Unsold,0.0
4329.0,2.0,1.0,1.0,220659.0,Unsold,0.0
4772.0,3.0,1.0,2.0,185507.0,Sold,11130.42
4219.0,2.0,2.0,3.0,162527.0,Sold,9751.62
2163.0,3.0,2.0,2.0,180445.0,Sold,10826.7
3900.0,5.0,2.0,2.0,174560.0,Sold,10473.6
4292.0,4.0,1.0,1.0,238543.0,Sold,14312.58
1001.0,3.0,3.0,1.0,233369.0,Sold,14002.14
1606.0,4.0,2.0,3.0,165061.0,Sold,9903.66
4833.0,5.0,3.0,3.0,191203.0,Sold,11472.18
1324.0,3.0,3.0,1.0,240083.0,Sold,14404.98
1963.0,6.0,2.0,1.0,172025.0,Sold,10321.5
2163.0,3.0,3.0,3.0,159731.0,Unsold,0.0
3135.0,1.0,1.0,2.0,209145.0,Sold,12548.7
2394.0,6.0,1.0,2.0,199183.0,Sold,11950.98
3958.0,5.0,3.0,2.0,202078.0,Unsold,0.0
3178.0,2.0,1.0,3.0,189841.0,Unsold,0.0
4148.0,2.0,1.0,3.0,204364.0,Sold,12261.84
1273.0,5.0,2.0,3.0,169599.0,Unsold,0.0
2041.0,2.0,1.0,2.0,187174.0,Sold,11230.44
2287.0,5.0,2.0,1.0,202427.0,Sold,12145.62
4895.0,5.0,3.0,1.0,216699.0,Sold,13001.94
3111.0,3.0,3.0,1.0,223114.0,Sold,13386.84
3613.0,3.0,3.0,1.0,227151.0,Unsold,0.0
2722.0,3.0,2.0,1.0,227810.0,Sold,13668.6
2393.0,5.0,2.0,2.0,194641.0,Sold,11678.46
2809.0,3.0,2.0,3.0,171980.0,Sold,10318.8
3306.0,3.0,1.0,2.0,189925.0,Sold,11395.5
3857.0,6.0,2.0,1.0,181650.0,Sold,10899.0
1014.0,6.0,2.0,2.0,220442.0,Sold,13226.52
4207.0,5.0,2.0,2.0,205988.0,Sold,12359.28
1449.0,2.0,2.0,2.0,180253.0,Sold,10815.18
4113.0,3.0,3.0,2.0,180535.0,Sold,10832.1
1723.0,4.0,1.0,3.0,176321.0,Unsold,0.0
4018.0,1.0,1.0,2.0,235810.0,Unsold,0.0
1090.0,2.0,2.0,1.0,204871.0,Sold,12292.26
3316.0,4.0,1.0,2.0,182467.0,Sold,10948.02
3499.0,3.0,1.0,3.0,172262.0,Sold,10335.72
1384.0,3.0,3.0,2.0,170894.0,Sold,10253.64
4576.0,5.0,3.0,3.0,205115.0,Sold,12306.9
1417.0,3.0,1.0,3.0,180207.0,Sold,10812.42
1447.0,6.0,1.0,3.0,157487.0,Sold,9449.22
3609.0,5.0,3.0,3.0,214055.0,Sold,12843.3
1837.0,5.0,3.0,1.0,238235.0,Sold,14294.1
4359.0,5.0,1.0,2.0,165281.0,Sold,9916.86
1373.0,5.0,1.0,2.0,189942.0,Unsold,0.0
4330.0,2.0,1.0,1.0,225458.0,Sold,13527.48
2542.0,4.0,2.0,3.0,163322.0,Sold,9799.32
1507.0,6.0,2.0,1.0,197123.0,Sold,11827.38
1917.0,4.0,3.0,2.0,199463.0,Sold,11967.78
1494.0,5.0,3.0,1.0,235705.0,Sold,14142.3
3203.0,4.0,3.0,3.0,197699.0,Sold,11861.94
3231.0,5.0,1.0,2.0,184937.0,Sold,11096.22
3063.0,3.0,3.0,1.0,214588.0,Unsold,0.0
3014.0,3.0,1.0,2.0,199769.0,Sold,11986.14
2282.0,5.0,1.0,2.0,179429.0,Unsold,0.0
4822.0,1.0,1.0,3.0,201963.0,Sold,12117.78
1511.0,6.0,1.0,1.0,217750.0,Sold,13065.0
4647.0,5.0,1.0,2.0,181900.0,Unsold,0.0
2265.0,2.0,1.0,3.0,204386.0,Sold,12263.16
1706.0,6.0,1.0,2.0,196377.0,Sold,11782.62
4197.0,4.0,1.0,1.0,256530.0,Sold,15391.8
1191.0,3.0,3.0,1.0,207817.0,Sold,12469.02
3718.0,6.0,3.0,2.0,208193.0,Sold,12491.58
4060.0,5.0,3.0,3.0,209908.0,Sold,12594.48
4208.0,5.0,3.0,2.0,213342.0,Sold,12800.52
1964.0,3.0,3.0,1.0,235805.0,Unsold,0.0
1055.0,2.0,2.0,1.0,209820.0,Sold,12589.2
3131.0,6.0,3.0,3.0,202349.0,Sold,12140.94
4112.0,3.0,2.0,3.0,182523.0,Sold,10951.38
4274.0,5.0,3.0,2.0,217219.0,Unsold,0.0
2755.0,1.0,1.0,3.0,234233.0,Unsold,0.0
4678.0,4.0,1.0,1.0,251958.0,Sold,15117.48
3114.0,6.0,2.0,3.0,178761.0,Sold,10725.66
4913.0,6.0,1.0,2.0,213577.0,Sold,12814.62
4712.0,4.0,2.0,1.0,202194.0,Sold,12131.64
3218.0,6.0,1.0,1.0,223383.0,Sold,13402.98
3299.0,6.0,2.0,2.0,209370.0,Sold,12562.2
4642.0,5.0,3.0,1.0,247968.0,Sold,14878.08
2160.0,4.0,2.0,3.0,155266.0,Sold,9315.96
3097.0,5.0,3.0,3.0,196986.0,Sold,11819.16
1259.0,4.0,2.0,1.0,205938.0,Unsold,0.0
2215.0,2.0,2.0,1.0,196865.0,Sold,11811.9
1120.0,4.0,2.0,2.0,189260.0,Sold,11355.6
2228.0,6.0,3.0,3.0,187058.0,Sold,11223.48
2197.0,3.0,2.0,2.0,178791.0,Unsold,0.0
4315.0,4.0,1.0,2.0,204004.0,Sold,12240.24
3943.0,6.0,2.0,2.0,212154.0,Unsold,0.0
1811.0,2.0,1.0,1.0,222523.0,Unsold,0.0
1970.0,3.0,1.0,3.0,206555.0,Sold,12393.3
4124.0,5.0,2.0,1.0,209434.0,Sold,12566.04
1202.0,4.0,2.0,3.0,155532.0,Sold,9331.92
1905.0,5.0,3.0,2.0,204279.0,Unsold,0.0
4915.0,3.0,1.0,3.0,201159.0,Sold,12069.54
1198.0,5.0,2.0,1.0,227119.0,Unsold,0.0
3519.0,1.0,1.0,3.0,233702.0,Sold,14022.12
3060.0,5.0,3.0,2.0,201730.0,Sold,12103.8
2736.0,6.0,1.0,1.0,227879.0,Sold,13672.74
3353.0,5.0,3.0,1.0,238397.0,Unsold,0.0
2527.0,5.0,1.0,1.0,195103.0,Unsold,0.0
3180.0,2.0,1.0,3.0,203683.0,Sold,12220.98
1437.0,4.0,3.0,1.0,216343.0,Sold,12980.58
2926.0,5.0,2.0,1.0,215067.0,Sold,12904.02
4507.0,5.0,3.0,3.0,201015.0,Unsold,0.0
4572.0,2.0,1.0,1.0,258685.0,Unsold,0.0
3839.0,2.0,2.0,3.0,162682.0,Sold,9760.92
2568.0,3.0,1.0,3.0,210305.0,Sold,12618.3
4120.0,3.0,3.0,1.0,248390.0,Sold,14903.4
4466.0,4.0,3.0,2.0,199167.0,Sold,11950.02
3315.0,6.0,3.0,1.0,220825.0,Sold,13249.5
4787.0,5.0,2.0,1.0,222613.0,Sold,13356.78
3562.0,5.0,1.0,1.0,203718.0,Unsold,0.0
3559.0,2.0,1.0,1.0,239212.0,Unsold,0.0
1051.0,2.0,1.0,1.0,221206.0,Sold,13272.36
4143.0,4.0,3.0,3.0,202905.0,Sold,12174.3
3420.0,1.0,1.0,1.0,204082.0,Sold,12244.92
1831.0,5.0,2.0,3.0,178101.0,Sold,10686.06
4088.0,6.0,1.0,3.0,154639.0,Unsold,0.0
1558.0,2.0,1.0,2.0,189747.0,Sold,11384.82
2260.0,3.0,3.0,1.0,206874.0,Unsold,0.0
2102.0,2.0,2.0,3.0,183543.0,Sold,11012.58
1891.0,4.0,1.0,3.0,171548.0,Sold,10292.88
3386.0,5.0,2.0,2.0,200104.0,Sold,12006.24
1975.0,4.0,3.0,1.0,229079.0,Sold,13744.74
1631.0,4.0,3.0,1.0,218399.0,Sold,13103.94
1749.0,5.0,2.0,2.0,183008.0,Sold,10980.48
2696.0,3.0,2.0,2.0,184378.0,Sold,11062.68
4720.0,5.0,3.0,1.0,268051.0,Unsold,0.0
3379.0,5.0,1.0,2.0,191134.0,Sold,11468.04
3302.0,4.0,2.0,1.0,201178.0,Sold,12070.68
3272.0,6.0,3.0,3.0,203623.0,Sold,12217.38
3722.0,5.0,2.0,3.0,177682.0,Sold,10660.92
1771.0,3.0,2.0,1.0,228030.0,Sold,13681.8
4817.0,3.0,2.0,1.0,238795.0,Unsold,0.0
1348.0,3.0,1.0,2.0,215390.0,Sold,12923.4
1038.0,3.0,2.0,1.0,210305.0,Sold,12618.3
2580.0,6.0,2.0,2.0,209153.0,Unsold,0.0
1208.0,1.0,1.0,1.0,230048.0,Unsold,0.0
2705.0,2.0,2.0,1.0,216366.0,Unsold,0.0
2252.0,2.0,1.0,2.0,186473.0,Unsold,0.0
1993.0,1.0,1.0,3.0,256672.0,Sold,15400.32
3266.0,4.0,2.0,1.0,207339.0,Sold,12440.34
4650.0,6.0,1.0,1.0,242544.0,Sold,14552.64
2853.0,6.0,1.0,3.0,156155.0,Sold,9369.3
2846.0,6.0,3.0,2.0,201491.0,Sold,12089.46
3739.0,3.0,2.0,3.0,172200.0,Sold,10332.0
2899.0,3.0,3.0,3.0,162365.0,Sold,9741.9
3648.0,4.0,3.0,3.0,206331.0,Unsold,0.0
2754.0,2.0,1.0,3.0,195115.0,Sold,11706.9
2849.0,6.0,1.0,2.0,191477.0,Sold,11488.62
1648.0,5.0,1.0,3.0,155636.0,Sold,9338.16
4542.0,6.0,3.0,3.0,211288.0,Unsold,0.0
4801.0,1.0,1.0,1.0,226410.0,Unsold,0.0
4778.0,3.0,1.0,2.0,233104.0,Sold,13986.24
3475.0,6.0,3.0,2.0,220985.0,Sold,13259.1
3861.0,6.0,2.0,2.0,226854.0,Sold,13611.24
3685.0,6.0,3.0,3.0,205387.0,Sold,12323.22
4582.0,6.0,2.0,3.0,172622.0,Sold,10357.32
4096.0,5.0,3.0,1.0,258456.0,Unsold,0.0
2169.0,2.0,1.0,3.0,188445.0,Sold,11306.7
4321.0,5.0,3.0,2.0,213935.0,Unsold,0.0
4128.0,2.0,1.0,1.0,253462.0,Unsold,0.0
3528.0,1.0,1.0,1.0,211477.0,Unsold,0.0
4873.0,2.0,1.0,2.0,220945.0,Sold,13256.7
2381.0,4.0,3.0,2.0,191168.0,Sold,11470.08
4178.0,4.0,1.0,3.0,169769.0,Unsold,0.0
1400.0,1.0,1.0,3.0,255608.0,Sold,15336.48
3713.0,4.0,3.0,1.0,241925.0,Sold,14515.5
1984.0,4.0,3.0,1.0,213253.0,Sold,12795.18
2512.0,6.0,2.0,3.0,189153.0,Sold,11349.18
1458.0,6.0,3.0,3.0,198040.0,Sold,11882.4
4675.0,5.0,2.0,3.0,172018.0,Sold,10321.08
2094.0,5.0,2.0,1.0,222835.0,Sold,13370.1
3343.0,3.0,1.0,3.0,205696.0,Sold,12341.76
4220.0,6.0,1.0,1.0,212944.0,Sold,12776.64
3807.0,5.0,3.0,1.0,226013.0,Sold,13560.78
4714.0,3.0,3.0,3.0,173510.0,Sold,10410.6
2376.0,3.0,1.0,3.0,208245.0,Sold,12494.7
2497.0,5.0,2.0,1.0,210920.0,Sold,12655.2
1569.0,4.0,3.0,1.0,209099.0,Unsold,0.0
3049.0,2.0,2.0,1.0,221187.0,Unsold,0.0
4373.0,2.0,1.0,1.0,237681.0,Unsold,0.0
4754.0,2.0,1.0,3.0,196715.0,Sold,11802.9
4495.0,4.0,3.0,3.0,200944.0,Sold,12056.64
3497.0,3.0,3.0,2.0,166623.0,Sold,9997.38
4969.0,5.0,3.0,2.0,215065.0,Sold,12903.9
3390.0,4.0,2.0,3.0,158230.0,Sold,9493.8
