rooms,floors,baths,lotSize,price,saleResult,commission
1.0,1.0,1.0,1120.0,278502.0,Sold,16710.12
1.0,1.0,1.0,1126.0,247948.0,Sold,14876.88
1.0,1.0,1.0,1137.0,268940.0,Sold,16136.4
1.0,1.0,1.0,1138.0,277749.0,Sold,16664.94
1.0,1.0,1.0,1146.0,289025.0,Sold,17341.5
1.0,1.0,1.0,1148.0,259966.0,Sold,15597.96
1.0,1.0,1.0,1152.0,269149.0,Sold,16148.94
1.0,1.0,1.0,1156.0,253568.0,Sold,15214.08
1.0,1.0,1.0,1158.0,292721.0,Sold,17563.26
1.0,1.0,1.0,1162.0,268777.0,Sold,16126.62
1.0,1.0,1.0,1170.0,292651.0,Sold,17559.059999999998
1.0,1.0,1.0,1171.0,270559.0,Sold,16233.54
1.0,1.0,1.0,1178.0,271867.0,Sold,16312.02
1.0,1.0,1.0,1192.0,255936.0,Sold,15356.16
1.0,1.0,1.0,1192.0,266760.0,Sold,16005.6
1.0,1.0,1.0,1193.0,259827.0,Sold,15589.62
1.0,1.0,1.0,1193.0,267355.0,Sold,16041.3
1.0,1.0,1.0,1197.0,251981.0,Sold,15118.86
1.0,1.0,1.0,1200.0,253104.0,Sold,15186.24
1.0,1.0,1.0,1207.0,295167.0,Sold,17710.02
1.0,1.0,1.0,1208.0,288889.0,Sold,17333.34
1.0,1.0,1.0,1209.0,271057.0,Sold,16263.42
1.0,1.0,1.0,1215.0,255981.0,Sold,15358.86
1.0,1.0,1.0,1216.0,242098.0,Sold,14525.88
1.0,1.0,1.0,1216.0,293153.0,Sold,17589.18
1.0,1.0,1.0,1219.0,292643.0,Sold,17558.579999999998
1.0,1.0,1.0,1224.0,239575.0,Sold,14374.5
1.0,1.0,1.0,1228.0,273182.0,Sold,16390.92
1.0,1.0,1.0,1230.0,263418.0,Sold,15805.08
1.0,1.0,1.0,1232.0,255367.0,Sold,15322.02
1.0,1.0,1.0,1238.0,287895.0,Sold,17273.7
1.0,1.0,1.0,1243.0,242483.0,Sold,14548.98
1.0,1.0,1.0,1246.0,249862.0,Sold,14991.72
1.0,1.0,1.0,1246.0,269757.0,Sold,16185.42
1.0,1.0,1.0,1249.0,298760.0,Sold,17925.6
1.0,1.0,1.0,1267.0,236602.0,Sold,14196.12
1.0,1.0,1.0,1267.0,253670.0,Sold,15220.2
1.0,1.0,1.0,1267.0,299368.0,Sold,17962.079999999998
1.0,1.0,1.0,1272.0,257681.0,Sold,15460.86
1.0,1.0,1.0,1276.0,294746.0,Sold,17684.76
1.0,1.0,1.0,1295.0,284579.0,Sold,17074.739999999998
1.0,1.0,1.0,1296.0,256102.0,Sold,15366.12
1.0,1.0,1.0,1298.0,262100.0,Sold,15726.0
1.0,1.0,1.0,1301.0,252566.0,Sold,15153.96
1.0,1.0,1.0,1306.0,262080.0,Sold,15724.8
1.0,1.0,1.0,1307.0,263239.0,Sold,15794.34
1.0,1.0,1.0,1308.0,257660.0,Sold,15459.6
1.0,1.0,1.0,1309.0,266895.0,Sold,16013.7
1.0,1.0,1.0,1316.0,269092.0,Sold,16145.52
1.0,1.0,1.0,1317.0,285392.0,Sold,17123.52
1.0,1.0,1.0,1318.0,263220.0,Sold,15793.2
1.0,1.0,1.0,1323.0,267021.0,Sold,16021.26
1.0,1.0,1.0,1324.0,258667.0,Sold,15520.02
1.0,1.0,1.0,1327.0,250964.0,Sold,15057.84
1.0,1.0,1.0,1333.0,279209.0,Sold,16752.54
1.0,1.0,1.0,1335.0,247313.0,Sold,14838.78
1.0,1.0,1.0,1336.0,267987.0,Sold,16079.22
1.0,1.0,1.0,1337.0,270468.0,Sold,16228.08
1.0,1.0,1.0,1345.0,246083.0,Sold,14764.98
1.0,1.0,1.0,1351.0,268461.0,Sold,16107.66
1.0,1.0,1.0,1352.0,266259.0,Sold,15975.54
1.0,1.0,1.0,1354.0,275329.0,Sold,16519.739999999998
1.0,1.0,1.0,1356.0,256337.0,Sold,15380.22
1.0,1.0,1.0,1359.0,259631.0,Sold,15577.86
1.0,1.0,1.0,1359.0,288043.0,Sold,17282.579999999998
1.0,1.0,1.0,1363.0,276953.0,Sold,16617.18
1.0,1.0,1.0,1364.0,256837.0,Sold,15410.22
1.0,1.0,1.0,1369.0,254642.0,Sold,15278.52
1.0,1.0,1.0,1373.0,260524.0,Sold,15631.44
1.0,1.0,1.0,1373.0,272375.0,Sold,16342.5
1.0,1.0,1.0,1376.0,288627.0,Sold,17317.62
1.0,1.0,1.0,1377.0,292526.0,Sold,17551.559999999998
1.0,1.0,1.0,1382.0,270715.0,Sold,16242.9
1.0,1.0,1.0,1384.0,251236.0,Sold,15074.16
1.0,1.0,1.0,1385.0,262188.0,Sold,15731.28
1.0,1.0,1.0,1394.0,274660.0,Sold,16479.6
1.0,1.0,1.0,1396.0,258933.0,Sold,15535.98
1.0,1.0,1.0,1396.0,291047.0,Sold,17462.82
1.0,1.0,1.0,1397.0,258599.0,Sold,15515.94
1.0,1.0,1.0,1403.0,260941.0,Sold,15656.46
1.0,1.0,1.0,1405.0,310478.0,Sold,18628.68
1.0,1.0,1.0,1409.0,247715.0,Sold,14862.9
1.0,1.0,1.0,1417.0,259794.0,Sold,15587.64
1.0,1.0,1.0,1422.0,304388.0,Sold,18263.28
1.0,1.0,1.0,1427.0,263152.0,Sold,15789.12
1.0,1.0,1.0,1428.0,283386.0,Sold,17003.16
1.0,1.0,1.0,1429.0,293715.0,Sold,17622.899999999998
1.0,1.0,1.0,1438.0,263847.0,Sold,15830.82
1.0,1.0,1.0,1441.0,235373.0,Sold,14122.38
1.0,1.0,1.0,1444.0,249089.0,Sold,14945.34
1.0,1.0,1.0,1444.0,286446.0,Sold,17186.76
1.0,1.0,1.0,1446.0,242833.0,Sold,14569.98
1.0,1.0,1.0,1453.0,280175.0,Sold,16810.5
1.0,1.0,1.0,1459.0,274209.0,Sold,16452.54
1.0,1.0,1.0,1459.0,300681.0,Sold,18040.86
1.0,1.0,1.0,1460.0,250785.0,Sold,15047.1
1.0,1.0,1.0,1462.0,261132.0,Sold,15667.92
1.0,1.0,1.0,1464.0,260174.0,Sold,15610.44
1.0,1.0,1.0,1464.0,292431.0,Sold,17545.86
1.0,1.0,1.0,1468.0,266173.0,Sold,15970.38
1.0,1.0,1.0,1470.0,246530.0,Sold,14791.8
1.0,1.0,1.0,1475.0,281929.0,Sold,16915.739999999998
1.0,1.0,1.0,1477.0,257629.0,Sold,15457.74
1.0,1.0,1.0,1478.0,244409.0,Sold,14664.54
1.0,1.0,1.0,1482.0,288359.0,Sold,17301.54
1.0,1.0,1.0,1486.0,253844.0,Sold,15230.64
1.0,1.0,1.0,1488.0,234963.0,Sold,14097.78
1.0,1.0,1.0,1488.0,259542.0,Sold,15572.52
1.0,1.0,1.0,1492.0,266784.0,Sold,16007.04
1.0,1.0,1.0,1502.0,266125.0,Sold,15967.5
1.0,1.0,1.0,1505.0,247481.0,Sold,14848.86
1.0,1.0,1.0,1520.0,266773.0,Sold,16006.38
1.0,1.0,1.0,1521.0,275077.0,Sold,16504.62
1.0,1.0,1.0,1522.0,243258.0,Sold,14595.48
1.0,1.0,1.0,1524.0,263741.0,Sold,15824.46
1.0,1.0,1.0,1532.0,243480.0,Sold,14608.8
1.0,1.0,1.0,1536.0,254702.0,Sold,15282.12
1.0,1.0,1.0,1538.0,291145.0,Sold,17468.7
1.0,1.0,1.0,1539.0,265324.0,Sold,15919.44
1.0,1.0,1.0,1539.0,273783.0,Sold,16426.98
1.0,1.0,1.0,1539.0,291259.0,Sold,17475.54
1.0,1.0,1.0,1542.0,245285.0,Sold,14717.1
1.0,1.0,1.0,1549.0,251007.0,Sold,15060.42
1.0,1.0,1.0,1550.0,257655.0,Sold,15459.3
1.0,1.0,1.0,1559.0,287132.0,Sold,17227.92
1.0,1.0,1.0,1562.0,238652.0,Sold,14319.12
1.0,1.0,1.0,1572.0,268972.0,Sold,16138.32
1.0,1.0,1.0,1572.0,289476.0,Sold,17368.559999999998
1.0,1.0,1.0,1573.0,250943.0,Sold,15056.58
1.0,1.0,1.0,1574.0,259873.0,Sold,15592.38
1.0,1.0,1.0,1574.0,263103.0,Sold,15786.18
1.0,1.0,1.0,1575.0,264410.0,Sold,15864.6
1.0,1.0,1.0,1578.0,252241.0,Sold,15134.46
1.0,1.0,1.0,1584.0,263715.0,Sold,15822.9
1.0,1.0,1.0,1592.0,187453.0,Sold,11247.18
1.0,1.0,1.0,1597.0,254097.0,Sold,15245.82
1.0,1.0,1.0,1597.0,274686.0,Sold,16481.16
1.0,1.0,1.0,1600.0,272672.0,Sold,16360.32
1.0,1.0,1.0,1601.0,280400.0,Sold,16824.0
1.0,1.0,1.0,1602.0,258909.0,Sold,15534.54
1.0,1.0,1.0,1605.0,257259.0,Sold,15435.54
1.0,1.0,1.0,1611.0,241563.0,Sold,14493.78
1.0,1.0,1.0,1612.0,226953.0,Sold,13617.18
1.0,1.0,1.0,1614.0,261268.0,Sold,15676.08
1.0,1.0,1.0,1619.0,227266.0,Sold,13635.96
1.0,1.0,1.0,1620.0,268297.0,Sold,16097.82
1.0,1.0,1.0,1631.0,242679.0,Sold,14560.74
1.0,1.0,1.0,1632.0,262752.0,Sold,15765.12
1.0,1.0,1.0,1633.0,280006.0,Sold,16800.36
1.0,1.0,1.0,1637.0,247256.0,Sold,14835.36
1.0,1.0,1.0,1637.0,279690.0,Sold,16781.399999999998
1.0,1.0,1.0,1639.0,245141.0,Sold,14708.46
1.0,1.0,1.0,1641.0,299484.0,Sold,17969.04
1.0,1.0,1.0,1647.0,268061.0,Sold,16083.66
1.0,1.0,1.0,1648.0,277719.0,Sold,16663.14
1.0,1.0,1.0,1649.0,251796.0,Sold,15107.76
1.0,1.0,1.0,1661.0,294987.0,Sold,17699.219999999998
1.0,1.0,1.0,1663.0,285989.0,Sold,17159.34
1.0,1.0,1.0,1671.0,238633.0,Sold,14317.98
1.0,1.0,1.0,1671.0,253143.0,Sold,15188.58
1.0,1.0,1.0,1671.0,272166.0,Sold,16329.96
1.0,1.0,1.0,1672.0,261006.0,Sold,15660.36
1.0,1.0,1.0,1674.0,283573.0,Sold,17014.38
1.0,1.0,1.0,1674.0,289659.0,Sold,17379.54
1.0,1.0,1.0,1675.0,262710.0,Sold,15762.6
1.0,1.0,1.0,1683.0,259414.0,Sold,15564.84
1.0,1.0,1.0,1691.0,229405.0,Sold,13764.3
1.0,1.0,1.0,1693.0,286625.0,Sold,17197.5
1.0,1.0,1.0,1699.0,249216.0,Sold,14952.96
1.0,1.0,1.0,1700.0,232977.0,Sold,13978.62
1.0,1.0,1.0,1700.0,246326.0,Sold,14779.56
1.0,1.0,1.0,1701.0,285031.0,Sold,17101.86
1.0,1.0,1.0,1703.0,259183.0,Sold,15550.98
1.0,1.0,1.0,1706.0,288638.0,Sold,17318.28
1.0,1.0,1.0,1708.0,291115.0,Sold,17466.899999999998
1.0,1.0,1.0,1712.0,243110.0,Sold,14586.6
1.0,1.0,1.0,1712.0,260700.0,Sold,15642.0
1.0,1.0,1.0,1720.0,267078.0,Sold,16024.68
1.0,1.0,1.0,1723.0,277351.0,Sold,16641.059999999998
1.0,1.0,1.0,1724.0,251344.0,Sold,15080.64
1.0,1.0,1.0,1725.0,271056.0,Sold,16263.36
1.0,1.0,1.0,1726.0,262857.0,Sold,15771.42
1.0,1.0,1.0,1728.0,272779.0,Sold,16366.74
1.0,1.0,1.0,1729.0,276295.0,Sold,16577.7
1.0,1.0,1.0,1733.0,277863.0,Sold,16671.78
1.0,1.0,1.0,1734.0,273991.0,Sold,16439.46
1.0,1.0,1.0,1737.0,247324.0,Sold,14839.44
1.0,1.0,1.0,1737.0,255399.0,Sold,15323.94
1.0,1.0,1.0,1742.0,299121.0,Sold,17947.26
1.0,1.0,1.0,1746.0,218257.0,Sold,13095.42
1.0,1.0,1.0,1749.0,240545.0,Sold,14432.7
1.0,1.0,1.0,1755.0,273896.0,Sold,16433.76
1.0,1.0,1.0,1771.0,258388.0,Sold,15503.28
1.0,1.0,1.0,1774.0,245496.0,Sold,14729.76
1.0,1.0,1.0,1774.0,250581.0,Sold,15034.86
1.0,1.0,1.0,1774.0,259951.0,Sold,15597.06
1.0,1.0,1.0,1775.0,232543.0,Sold,13952.58
1.0,1.0,1.0,1775.0,273149.0,Sold,16388.94
1.0,1.0,1.0,1781.0,272754.0,Sold,16365.24
1.0,1.0,1.0,1792.0,277111.0,Sold,16626.66
1.0,1.0,1.0,1792.0,283193.0,Sold,16991.579999999998
1.0,1.0,1.0,1793.0,255089.0,Sold,15305.34
1.0,1.0,1.0,1793.0,268132.0,Sold,16087.92
1.0,1.0,1.0,1794.0,252686.0,Sold,15161.16
1.0,1.0,1.0,1796.0,286146.0,Sold,17168.76
1.0,1.0,1.0,1799.0,264903.0,Sold,15894.18
1.0,1.0,1.0,1801.0,285130.0,Sold,17107.8
1.0,1.0,1.0,1803.0,269216.0,Sold,16152.96
1.0,1.0,1.0,1803.0,294024.0,Sold,17641.44
1.0,1.0,1.0,1804.0,263454.0,Sold,15807.24
1.0,1.0,1.0,1815.0,258105.0,Sold,15486.3
1.0,1.0,1.0,1817.0,260949.0,Sold,15656.94
1.0,1.0,1.0,1820.0,283532.0,Sold,17011.92
1.0,1.0,1.0,1823.0,272308.0,Sold,16338.48
1.0,1.0,1.0,1837.0,247645.0,Sold,14858.7
1.0,1.0,1.0,1843.0,259673.0,Sold,15580.38
1.0,1.0,1.0,1845.0,268061.0,Sold,16083.66
1.0,1.0,1.0,1846.0,291204.0,Sold,17472.239999999998
1.0,1.0,1.0,1849.0,250969.0,Sold,15058.14
1.0,1.0,1.0,1851.0,260938.0,Sold,15656.28
1.0,1.0,1.0,1852.0,265207.0,Sold,15912.42
1.0,1.0,1.0,1853.0,269223.0,Sold,16153.38
1.0,1.0,1.0,1872.0,259010.0,Sold,15540.6
1.0,1.0,1.0,1872.0,276340.0,Sold,16580.399999999998
1.0,1.0,1.0,1873.0,277144.0,Sold,16628.64
1.0,1.0,1.0,1880.0,254550.0,Sold,15273.0
1.0,1.0,1.0,1883.0,269307.0,Sold,16158.42
1.0,1.0,1.0,1883.0,289782.0,Sold,17386.92
1.0,1.0,1.0,1887.0,246538.0,Sold,14792.28
1.0,1.0,1.0,1887.0,271054.0,Sold,16263.24
1.0,1.0,1.0,1889.0,282613.0,Sold,16956.78
1.0,1.0,1.0,1890.0,267557.0,Sold,16053.42
1.0,1.0,1.0,1893.0,254778.0,Sold,15286.68
1.0,1.0,1.0,1893.0,260472.0,Sold,15628.32
1.0,1.0,1.0,1893.0,275437.0,Sold,16526.22
1.0,1.0,1.0,1893.0,284423.0,Sold,17065.38
1.0,1.0,1.0,1897.0,269628.0,Sold,16177.68
1.0,1.0,1.0,1902.0,273635.0,Sold,16418.1
1.0,1.0,1.0,1905.0,285566.0,Sold,17133.96
1.0,1.0,1.0,1912.0,292989.0,Sold,17579.34
1.0,1.0,1.0,1913.0,253328.0,Sold,15199.68
1.0,1.0,1.0,1915.0,256478.0,Sold,15388.68
1.0,1.0,1.0,1924.0,256129.0,Sold,15367.74
1.0,1.0,1.0,1926.0,251807.0,Sold,15108.42
1.0,1.0,1.0,1926.0,262233.0,Sold,15733.98
1.0,1.0,1.0,1928.0,267857.0,Sold,16071.42
1.0,1.0,1.0,1933.0,248337.0,Sold,14900.22
1.0,1.0,1.0,1934.0,260060.0,Sold,15603.6
1.0,1.0,1.0,1935.0,262330.0,Sold,15739.8
1.0,1.0,1.0,1937.0,273082.0,Sold,16384.92
1.0,1.0,1.0,1945.0,285461.0,Sold,17127.66
1.0,1.0,1.0,1949.0,270715.0,Sold,16242.9
1.0,1.0,1.0,1950.0,273277.0,Sold,16396.62
1.0,1.0,1.0,1951.0,270134.0,Sold,16208.04
1.0,1.0,1.0,1963.0,265794.0,Sold,15947.64
1.0,1.0,1.0,1963.0,272137.0,Sold,16328.22
1.0,1.0,1.0,1966.0,266599.0,Sold,15995.94
1.0,1.0,1.0,1967.0,264157.0,Sold,15849.42
1.0,1.0,1.0,1968.0,254149.0,Sold,15248.94
1.0,1.0,1.0,1979.0,262050.0,Sold,15723.0
1.0,1.0,1.0,1983.0,267101.0,Sold,16026.06
1.0,1.0,1.0,1994.0,260516.0,Sold,15630.96
1.0,1.0,1.0,1996.0,271056.0,Sold,16263.36
1.0,1.0,1.0,1997.0,273387.0,Sold,16403.22
1.0,1.0,1.0,1998.0,276589.0,Sold,16595.34
1.0,1.0,1.0,2003.0,261470.0,Sold,15688.2
1.0,1.0,1.0,2004.0,262857.0,Sold,15771.42
1.0,1.0,1.0,2010.0,261792.0,Sold,15707.52
1.0,1.0,1.0,2021.0,246369.0,Sold,14782.14
1.0,1.0,1.0,2024.0,275854.0,Sold,16551.239999999998
1.0,1.0,1.0,2026.0,287302.0,Sold,17238.12
1.0,1.0,1.0,2029.0,252810.0,Sold,15168.6
1.0,1.0,1.0,2039.0,277251.0,Sold,16635.059999999998
1.0,1.0,1.0,2041.0,292660.0,Sold,17559.6
1.0,1.0,1.0,2044.0,288987.0,Sold,17339.22
1.0,1.0,1.0,2049.0,276180.0,Sold,16570.8
1.0,1.0,1.0,2050.0,269179.0,Sold,16150.74
1.0,1.0,1.0,2051.0,275046.0,Sold,16502.76
1.0,1.0,1.0,2059.0,237130.0,Sold,14227.8
1.0,1.0,1.0,2065.0,292145.0,Sold,17528.7
1.0,1.0,1.0,2069.0,265239.0,Sold,15914.34
1.0,1.0,1.0,2076.0,287623.0,Sold,17257.38
1.0,1.0,1.0,2077.0,275213.0,Sold,16512.78
1.0,1.0,1.0,2081.0,232977.0,Sold,13978.62
1.0,1.0,1.0,2088.0,270159.0,Sold,16209.54
1.0,1.0,1.0,2093.0,250872.0,Sold,15052.32
1.0,1.0,1.0,2094.0,268808.0,Sold,16128.48
1.0,1.0,1.0,2095.0,243385.0,Sold,14603.1
1.0,1.0,1.0,2099.0,272290.0,Sold,16337.4
1.0,1.0,1.0,2102.0,287372.0,Sold,17242.32
1.0,1.0,1.0,2104.0,267790.0,Sold,16067.4
1.0,1.0,1.0,2109.0,270271.0,Sold,16216.26
1.0,1.0,1.0,2111.0,260298.0,Sold,15617.88
1.0,1.0,1.0,2119.0,264427.0,Sold,15865.62
1.0,1.0,1.0,2122.0,284298.0,Sold,17057.88
1.0,1.0,1.0,2125.0,273744.0,Sold,16424.64
1.0,1.0,1.0,2130.0,294848.0,Sold,17690.88
1.0,1.0,1.0,2133.0,289490.0,Sold,17369.399999999998
1.0,1.0,1.0,2135.0,274135.0,Sold,16448.1
1.0,1.0,1.0,2140.0,262050.0,Sold,15723.0
1.0,1.0,1.0,2144.0,274218.0,Sold,16453.079999999998
1.0,1.0,1.0,2146.0,258966.0,Sold,15537.96
1.0,1.0,1.0,2153.0,274046.0,Sold,16442.76
1.0,1.0,1.0,2154.0,254429.0,Sold,15265.74
1.0,1.0,1.0,2154.0,274072.0,Sold,16444.32
1.0,1.0,1.0,2158.0,270824.0,Sold,16249.44
1.0,1.0,1.0,2159.0,267760.0,Sold,16065.6
1.0,1.0,1.0,2163.0,266490.0,Sold,15989.4
1.0,1.0,1.0,2163.0,281673.0,Sold,16900.38
1.0,1.0,1.0,2166.0,260162.0,Sold,15609.72
1.0,1.0,1.0,2186.0,247930.0,Sold,14875.8
1.0,1.0,1.0,2187.0,228842.0,Sold,13730.52
1.0,1.0,1.0,2188.0,269728.0,Sold,16183.68
1.0,1.0,1.0,2194.0,237169.0,Sold,14230.14
1.0,1.0,1.0,2197.0,238192.0,Sold,14291.52
1.0,1.0,1.0,2203.0,241675.0,Sold,14500.5
1.0,1.0,1.0,2213.0,245211.0,Sold,14712.66
1.0,1.0,1.0,2222.0,249735.0,Sold,14984.1
1.0,1.0,1.0,2229.0,268412.0,Sold,16104.72
1.0,1.0,1.0,2230.0,263263.0,Sold,15795.78
1.0,1.0,1.0,2231.0,214617.0,Sold,12877.02
1.0,1.0,1.0,2231.0,238165.0,Sold,14289.9
1.0,1.0,1.0,2231.0,273417.0,Sold,16405.02
1.0,1.0,1.0,2232.0,277752.0,Sold,16665.12
1.0,1.0,1.0,2233.0,248020.0,Sold,14881.2
1.0,1.0,1.0,2233.0,255451.0,Sold,15327.06
1.0,1.0,1.0,2235.0,268257.0,Sold,16095.42
1.0,1.0,1.0,2248.0,265224.0,Sold,15913.44
1.0,1.0,1.0,2256.0,271688.0,Sold,16301.28
1.0,1.0,1.0,2262.0,234113.0,Sold,14046.78
1.0,1.0,1.0,2266.0,268252.0,Sold,16095.12
1.0,1.0,1.0,2268.0,252997.0,Sold,15179.82
1.0,1.0,1.0,2275.0,277961.0,Sold,16677.66
1.0,1.0,1.0,2276.0,235681.0,Sold,14140.86
1.0,1.0,1.0,2277.0,270516.0,Sold,16230.96
1.0,1.0,1.0,2282.0,253364.0,Sold,15201.84
1.0,1.0,1.0,2291.0,255646.0,Sold,15338.76
1.0,1.0,1.0,2296.0,252345.0,Sold,15140.7
1.0,1.0,1.0,2302.0,253455.0,Sold,15207.3
1.0,1.0,1.0,2310.0,262693.0,Sold,15761.58
1.0,1.0,1.0,2315.0,295957.0,Sold,17757.42
1.0,1.0,1.0,2316.0,259981.0,Sold,15598.86
1.0,1.0,1.0,2317.0,292423.0,Sold,17545.38
1.0,1.0,1.0,2318.0,274878.0,Sold,16492.68
1.0,1.0,1.0,2326.0,283950.0,Sold,17037.0
1.0,1.0,1.0,2332.0,300404.0,Sold,18024.24
1.0,1.0,1.0,2337.0,243480.0,Sold,14608.8
1.0,1.0,1.0,2340.0,280110.0,Sold,16806.6
1.0,1.0,1.0,2344.0,261035.0,Sold,15662.1
1.0,1.0,1.0,2349.0,293924.0,Sold,17635.44
1.0,1.0,1.0,2353.0,274660.0,Sold,16479.6
1.0,1.0,1.0,2354.0,257114.0,Sold,15426.84
1.0,1.0,1.0,2355.0,304232.0,Sold,18253.92
1.0,1.0,1.0,2357.0,225241.0,Sold,13514.46
1.0,1.0,1.0,2357.0,246014.0,Sold,14760.84
1.0,1.0,1.0,2366.0,265299.0,Sold,15917.94
1.0,1.0,1.0,2369.0,279497.0,Sold,16769.82
1.0,1.0,1.0,2372.0,279634.0,Sold,16778.04
1.0,1.0,1.0,2373.0,261159.0,Sold,15669.54
1.0,1.0,1.0,2375.0,300309.0,Sold,18018.54
1.0,1.0,1.0,2378.0,256027.0,Sold,15361.62
1.0,1.0,1.0,2381.0,275385.0,Sold,16523.1
1.0,1.0,1.0,2385.0,275801.0,Sold,16548.059999999998
1.0,1.0,1.0,2390.0,264083.0,Sold,15844.98
1.0,1.0,1.0,2392.0,263772.0,Sold,15826.32
1.0,1.0,1.0,2393.0,256189.0,Sold,15371.34
1.0,1.0,1.0,2394.0,254029.0,Sold,15241.74
1.0,1.0,1.0,2398.0,261004.0,Sold,15660.24
1.0,1.0,1.0,2405.0,254104.0,Sold,15246.24
1.0,1.0,1.0,2412.0,229884.0,Sold,13793.04
1.0,1.0,1.0,2415.0,253487.0,Sold,15209.22
1.0,1.0,1.0,2417.0,229330.0,Sold,13759.8
1.0,1.0,1.0,2418.0,279241.0,Sold,16754.46
1.0,1.0,1.0,2419.0,248155.0,Sold,14889.3
1.0,1.0,1.0,2421.0,267763.0,Sold,16065.78
1.0,1.0,1.0,2423.0,277089.0,Sold,16625.34
1.0,1.0,1.0,2428.0,224289.0,Sold,13457.34
1.0,1.0,1.0,2431.0,260817.0,Sold,15649.02
1.0,1.0,1.0,2433.0,278831.0,Sold,16729.86
1.0,1.0,1.0,2434.0,296236.0,Sold,17774.16
1.0,1.0,1.0,2442.0,273113.0,Sold,16386.78
1.0,1.0,1.0,2449.0,299908.0,Sold,17994.48
1.0,1.0,1.0,2452.0,268583.0,Sold,16114.98
1.0,1.0,1.0,2454.0,281724.0,Sold,16903.44
1.0,1.0,1.0,2456.0,253686.0,Sold,15221.16
1.0,1.0,1.0,2466.0,300613.0,Sold,18036.78
1.0,1.0,1.0,2474.0,271155.0,Sold,16269.3
1.0,1.0,1.0,2476.0,298545.0,Sold,17912.7
1.0,1.0,1.0,2478.0,245541.0,Sold,14732.46
1.0,1.0,1.0,2479.0,280201.0,Sold,16812.059999999998
1.0,1.0,1.0,2488.0,274335.0,Sold,16460.1
1.0,1.0,1.0,2490.0,259275.0,Sold,15556.5
1.0,1.0,1.0,2492.0,283397.0,Sold,17003.82
1.0,1.0,1.0,2493.0,271932.0,Sold,16315.92
1.0,1.0,1.0,2498.0,249772.0,Sold,14986.32
1.0,1.0,1.0,2499.0,252506.0,Sold,15150.36
1.0,1.0,1.0,2503.0,279810.0,Sold,16788.6
1.0,1.0,1.0,2504.0,254878.0,Sold,15292.68
1.0,1.0,1.0,2507.0,307094.0,Sold,18425.64
1.0,1.0,1.0,2513.0,240412.0,Sold,14424.72
1.0,1.0,1.0,2513.0,267928.0,Sold,16075.68
1.0,1.0,1.0,2514.0,294081.0,Sold,17644.86
1.0,1.0,1.0,2519.0,276130.0,Sold,16567.8
1.0,1.0,1.0,2524.0,244103.0,Sold,14646.18
1.0,1.0,1.0,2530.0,273707.0,Sold,16422.42
1.0,1.0,1.0,2532.0,269907.0,Sold,16194.42
1.0,1.0,1.0,2546.0,270515.0,Sold,16230.9
1.0,1.0,1.0,2547.0,310804.0,Sold,18648.24
1.0,1.0,1.0,2548.0,287551.0,Sold,17253.059999999998
1.0,1.0,1.0,2559.0,263566.0,Sold,15813.96
